Religion or spiritual tradition,Religion or spiritual tradition (other),Gender Identity,Gender Identity (not listed in survey),Race/Ethnicity**,Financial need level,Class Year Categories,School,1st Generation College,Federally Reported Race/Ethnicity,Sex,Have you ever sought any services provided by CAPS?,For which of the following reasons have you not sought services provided by CAPS?**,"Agreement with: ""I avoid consultations with CAPS because I am worried what I tell them might lead to negative academic repercussions""",For which of the following purposes would you feel comfortable utilizing CAPS?**,Which of the following CAPS services have you used?**,What was the outcome of your treatment at CAPS?,What was the outcome of your treatment at CAPS? (other),How many times did you visit CAPS?,In what school year(s) have you used or attempted to use CAPS?**,"Agreement with: ""CAPS was beneficial to my mental health""",Why did CAPS not have a beneficial effect on your mental health?**,Have you ever contacted the CAPS crisis support line?,You indicated that you have not contacted the CAPS crisis support line. Why?,You indicated that you have not contacted the CAPS crisis support line. Why? (other),Have you used the virtual support service TimelyCare?,"Agreement with: ""TimelyCare was beneficial for my mental health""","Agreement with: ""CAPS is committed to providing good quality treatment to students, regardless of their identity""","Agreement with: ""CAPS has the resources necessary to treat students of marginalized identities""","Agreement with: ""CAPS does their best to treat students of marginalized identities""",Which of the following sources have influenced your opinion about CAPS?**,"Which of the following resources, excluding CAPS, would you turn to if you were struggling with mental health?**","Which of the following are mental health and intervention offerings by Northwestern that you are aware of, if any?**","Which of the following would you consider to be your main source of community, support, and well-being?","Agreement with: ""I have been able to access meaningful mental health services provided to me by Northwestern""",Have you ever experienced a mental health issue that has impacted your academic performance at NU?,"Have you ever considered taking a medical leave of absence (""MLOA"") at Northwestern for mental health purposes?","Why did you not take a medical leave of absence (""MLOA"")? (if ""considered taking MLOA"" was selected)**",Which of the following identities best describes you?,"Agreement with: ""I feel comfortable expressing my religious or spiritual identity on campus""",In which of the following settings do you not feel comfortable expressing your religious or spiritual identity?**,"Agreement with: ""My professors treat my religion or spirituality with respect""","Agreement with: ""I have a space on campus where I can adequately practice my religion or spirituality""","Agreement with: ""I receive the academic accommodations that I need to account for my religious or spiritual restrictions""",What resources provided by Religious and Spiritual Life (RSL) are you aware of?**,"Agreement with: ""I would use a confidential conversation with a university chaplain for support""",Why would you not use a confidential conversation with a chaplain for support?**,"Agreement with: ""I would be more likely to consult with a university chaplain if they came from a secular background""",Do you identify as a first-generation student?,Do you identify as a low-income student?,"Agreement with: ""I feel supported by Student Enrichment Services (SES)""","Agreement with: ""I feel I have found a community on campus where I belong""","Agreement with: ""I feel like I am treated equally in the classroom, regardless of my socio-economic background""",Do you currently work a job on or off campus?,Hours per week you dedicate to non-paying student organizations,"Agreement with: ""Cost is something I consider when registering for classes""","Agreement with: ""I have financially struggled to purchase required books for classes""","Agreement with: ""I have financially struggled to purchase required technology for classes""",In what years during your time at Northwestern have you struggled financially to purchase required course materials?**
Agnostic,No answer,Non-binary / Non-conforming,No answer,"Asian (Examples: Chinese, Japanese, Filipino, Korean, South Asian, Vietnamese)",Not High Need 4+,Second Year,School of Communication,Not 1st Generation,Asian/Pacific Islander,Female,Yes,No answer,Somewhat agree,"Coping with academic-related stress,Help with interpersonal relationships,Emergency mental health care","External referral to non-CAPS provider,Individual therapy at CAPS",The wait time for ongoing therapy was too long so I did not follow through.,No answer,Once,2021-2022,Strongly disagree,The counseling I received did not adequately address my concerns or needs.,No,I was worried that I or a friend would be transported to the hospital,No answer,Yes,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Personal experience with CAPS,"Friends,Family,Faculty or academic advisors",No answer,Friend Group,Strongly disagree,Yes,"No, I have never considered taking a medical leave of absence.",No answer,I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,No answer,Strongly disagree,"None of the chaplains reflect my identity,I don't trust that the conversation would be truly confidential,I generally avoid religious institutions",Strongly disagree,Yes,No,Do not use SES services/Unable to judge,Strongly disagree,Somewhat disagree,"Yes, one",Between 6-10 hours,Strongly agree,Somewhat agree,Somewhat disagree,"First year,Second year"
Muslim,No answer,Cisgender woman,No answer,"Middle Eastern or North African (Examples: Lebanese, Iranian, Egyptian, Syrian, Moroccan)",High Need 4+,Second Year,School of Communication,Not 1st Generation,Unknown,Female,No,"I am worried the wait time will be too long,I don't think CAPS has staff who can treat me,I don't have time,I am worried about cost",Somewhat disagree,Help with interpersonal relationships,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,"No, unaware of this service",No answer,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,"Friends,Student advocacy groups (e.g. Reform CAPS),Social media and online platforms","Student organizations,Friends,Family,Faculty or academic advisors",Appointment at CAPS,"Friend Group,Family,Academic Cohort (people in your major, PA group, Peer-Guided Study group),Student organization",Somewhat disagree,Prefer not to answer,"No, I have never considered taking a medical leave of absence.",No answer,I am religious,Somewhat agree,No answer,Strongly agree,Strongly agree,Strongly agree,Weekly religious services,Somewhat agree,No answer,No answer,Yes,Prefer not to answer,Somewhat agree,Neither agree nor disagree,Strongly agree,"Yes, one",Between 1-5 hours,Strongly disagree,Somewhat agree,Somewhat agree,Second year
Agnostic,No answer,Cisgender woman,No answer,"Asian (Examples: Chinese, Japanese, Filipino, Korean, South Asian, Vietnamese)",Not High Need 4+,Second Year,School of Journalism,Not 1st Generation,Asian/Pacific Islander,Female,No,Haven't needed any CAPS services,Neither agree nor disagree,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,"No, unaware of this service",No answer,Somewhat disagree,Neither agree nor disagree,Somewhat agree,"Friends,Social media and online platforms","Friends,Family",No answer,"Friend Group,Family,Student organization,Sports team",Neither agree or disagree,No,"No, I have never considered taking a medical leave of absence.",No answer,I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,No answer,Strongly disagree,I generally avoid religious institutions,Neither agree nor disagree,No,No,No answer,Strongly agree,No answer,No,Between 6-10 hours,Strongly disagree,Strongly disagree,Strongly disagree,No answer
Catholic,No answer,Cisgender woman,No answer,"White (Examples: German, Irish, English, Italian, Polish, French)",Not High Need 4+,First Year,School of Communication,Not 1st Generation,White,Female,Yes,No answer,Strongly disagree,"Coping with academic-related stress,Help with interpersonal relationships,Receiving a preliminary diagnosis",External referral to non-CAPS provider,I met with someone at CAPS and then was referred to an outside care person.,No answer,Once,2022-2023,Somewhat agree,No answer,No,I have not needed to,No answer,No,No answer,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Personal experience with CAPS,"Friends,Family",No answer,"Friend Group,Family",Unable to judge,No,"No, I have never considered taking a medical leave of absence.",No answer,I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,No answer,Strongly disagree,"I have other sources of support,I don't trust that the conversation would be truly confidential,I generally avoid religious institutions",Strongly disagree,No,No,No answer,Strongly agree,No answer,No,Between 16-20 hours,Strongly disagree,Strongly disagree,Strongly disagree,No answer
Agnostic,No answer,Cisgender man,No answer,"Hispanic or Latino (Examples: Puerto Rican, Mexican, Cuban, Salvadoran, Colombian),White (Examples: German, Irish, English, Italian, Polish, French)",Not High Need 4+,First Year,Weinberg College of Arts & Sci,Not 1st Generation,Hispanic,Male,No,Haven't needed any CAPS services,Strongly disagree,"Coping with academic-related stress,Emergency mental health care,Receiving a preliminary diagnosis",No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No,No answer,Somewhat agree,Somewhat agree,Somewhat agree,Peer advisors and student mentors,"CARE,Friends,Family","Drop-In Hours at CARE,Appointment at CAPS,Virtual appointment through TimelyCare","Friend Group,Family",Neither agree or disagree,No,"No, I have never considered taking a medical leave of absence.",No answer,I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,Weekly religious services,Somewhat disagree,I have other sources of support,Neither agree nor disagree,No,No,No answer,Somewhat agree,No answer,No,Between 1-5 hours,Strongly disagree,Strongly disagree,Strongly disagree,No answer
Protestant (non-denominational),No answer,Cisgender man,No answer,"White (Examples: German, Irish, English, Italian, Polish, French)",Not High Need 4+,First Year,School of Communication,Not 1st Generation,White,Male,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,"CARE,Friends,Family,Resident Assistants","Appointment at CAPS,Virtual appointment through TimelyCare","Friend Group,Dorm/neighborhood,Student organization",Strongly disagree,No,"No, I have never considered taking a medical leave of absence.",No answer,I am spiritual,Somewhat agree,No answer,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,No answer,Strongly disagree,"I have other sources of support,I generally avoid religious institutions",Somewhat disagree,No,No,No answer,Strongly agree,No answer,No,Between 6-10 hours,Somewhat disagree,Somewhat disagree,Somewhat disagree,No answer
Buddhist,No answer,Cisgender man,No answer,"Asian (Examples: Chinese, Japanese, Filipino, Korean, South Asian, Vietnamese)",Not High Need 4+,Second Year,Weinberg College of Arts & Sci,Not 1st Generation,Asian/Pacific Islander,Male,No,"I don't have time,Heard they only provide temporary services (not a long-term solution)",Strongly disagree,"Coping with academic-related stress,Help with interpersonal relationships",No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No,No answer,Somewhat agree,Somewhat agree,Somewhat agree,"Friends,Student publications,Peer advisors and student mentors","Friends,Family","Appointment at CAPS,Virtual appointment through TimelyCare","Friend Group,Family",Unable to judge,Yes,"Yes, although I did not take one.","I had a lack of information and guidance about the MLOA process,Anxiety around falling behind academically,I do not want to be distanced from my community at Northwestern",I am religious,Somewhat agree,No answer,Somewhat agree,Neither agree nor disagree,Somewhat agree,No answer,Strongly disagree,I have other sources of support,Neither agree nor disagree,No,Yes,Strongly agree,Somewhat agree,Somewhat disagree,No,Less than 1 hour,Somewhat agree,Somewhat disagree,Somewhat disagree,No answer
Jewish,No answer,Cisgender woman,No answer,"White (Examples: German, Irish, English, Italian, Polish, French)",Not High Need 4+,First Year,School of Communication,Not 1st Generation,White,Female,No,"Haven't needed any CAPS services,I am worried the wait time will be too long,I have an external provider for mental and psychological health",Strongly disagree,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,"No, unaware of this service",No answer,Somewhat agree,Somewhat disagree,Neither agree nor disagree,"Friends,Peer advisors and student mentors","Friends,Family",No answer,"Friend Group,Family,Dorm/neighborhood,Student organization",Unable to judge,No,"No, I have never considered taking a medical leave of absence.",No answer,I am spiritual,Strongly agree,No answer,Somewhat agree,Strongly agree,Somewhat agree,No answer,Strongly disagree,"I have other sources of support,I did not know chaplain services existed at Northwestern",Neither agree nor disagree,No,No,No answer,Strongly agree,No answer,No,Between 16-20 hours,Somewhat disagree,Strongly disagree,Strongly disagree,No answer
Agnostic,No answer,Cisgender woman,No answer,"Asian (Examples: Chinese, Japanese, Filipino, Korean, South Asian, Vietnamese)",Not High Need 4+,First Year,Weinberg College of Arts & Sci,Not 1st Generation,Asian/Pacific Islander,Female,Yes,No answer,Strongly disagree,"Coping with academic-related stress,Help transitioning to Northwestern",Individual therapy at CAPS,I received the treatment I needed within CAPS.,No answer,Once,2022-2023,Strongly agree,No answer,No,I have not needed to,No answer,No,No answer,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,"Personal experience with CAPS,Friends",No answer,"NU Peer Support Group,Appointment at CAPS,Virtual appointment through TimelyCare","Friend Group,Dorm/neighborhood,Student organization",Somewhat agree,No,"No, I have never considered taking a medical leave of absence.",No answer,I am spiritual,Somewhat agree,No answer,Strongly agree,Strongly agree,Neither agree nor disagree,Drop-in meditation,Somewhat disagree,"I have other sources of support,I don't trust that the conversation would be truly confidential,I generally avoid religious institutions",Strongly agree,No,No,No answer,Somewhat agree,No answer,No,Between 1-5 hours,Strongly disagree,Strongly disagree,Strongly disagree,No answer
Hindu,No answer,Cisgender woman,No answer,"Asian (Examples: Chinese, Japanese, Filipino, Korean, South Asian, Vietnamese)",High Need 4+,First Year,School of Educ & Soc Policy,Not 1st Generation,Hispanic,Female,Yes,No answer,Neither agree nor disagree,"Coping with academic-related stress,Help transitioning to Northwestern","External referral to non-CAPS provider,Individual therapy at CAPS",I met with someone at CAPS for a short period of time and felt I no longer needed treatment.,No answer,Two to three times,2022-2023,Somewhat agree,No answer,"Yes, outside of office hours",No answer,No answer,No,No answer,Somewhat disagree,Strongly disagree,Somewhat disagree,"Friends,Student advocacy groups (e.g. Reform CAPS),Peer advisors and student mentors","Student organizations,Student Enrichment Services (SES),Friends,Family,Peer advisors,Faculty or academic advisors","Appointment at CAPS,Virtual appointment through TimelyCare","Friend Group,Family,Academic Cohort (people in your major, PA group, Peer-Guided Study group),Dorm/neighborhood,Student organization",Somewhat agree,Yes,"No, I have never considered taking a medical leave of absence.",No answer,I am religious,Strongly agree,No answer,Somewhat agree,Somewhat agree,Somewhat disagree,Drop-in meditation,Somewhat disagree,"I don't trust that the conversation would be truly confidential,I did not know chaplain services existed at Northwestern",Somewhat agree,Yes,Yes,Somewhat agree,Strongly agree,Somewhat disagree,"Yes, one",Between 6-10 hours,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,No answer
Episcopalian,No answer,Cisgender woman,No answer,"White (Examples: German, Irish, English, Italian, Polish, French)",Not High Need 4+,First Year,Weinberg College of Arts & Sci,Not 1st Generation,White,Female,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,"Student organizations,Sports teams,Student Enrichment Services (SES),Friends,Family,Peer advisors,Faculty or academic advisors","Appointment at CAPS,Virtual appointment through TimelyCare","Family,Sports team",Strongly agree,No,"No, I have never considered taking a medical leave of absence.",No answer,I am religious,Neither agree nor disagree,No answer,Strongly agree,Strongly agree,Neither agree nor disagree,No answer,Strongly disagree,No answer,Somewhat agree,Yes,No,Strongly agree,Strongly disagree,Strongly agree,No,Less than 1 hour,Strongly agree,Somewhat agree,Neither agree nor disagree,First year
Agnostic,No answer,Cisgender woman,No answer,"White (Examples: German, Irish, English, Italian, Polish, French)",Not High Need 4+,First Year,Weinberg College of Arts & Sci,Not 1st Generation,White,Female,No,I don't think CAPS has staff who can treat me,Somewhat disagree,"Coping with academic-related stress,Help with interpersonal relationships",No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No,No answer,Strongly disagree,Strongly disagree,Somewhat disagree,"Friends,Student advocacy groups (e.g. Reform CAPS),Peer advisors and student mentors","Friends,Family,Faculty or academic advisors","Drop-In Hours at the Women's Center,Drop-In Hours at CARE,Appointment at CAPS,Virtual appointment through TimelyCare","Friend Group,Family",Somewhat disagree,No,"No, I have never considered taking a medical leave of absence.",No answer,I am spiritual,Somewhat agree,No answer,Strongly agree,Strongly agree,Strongly agree,"Weekly religious services,Drop-in meditation",Strongly disagree,"I have other sources of support,I did not know chaplain services existed at Northwestern",Somewhat agree,No,No,No answer,Strongly agree,No answer,No,Between 1-5 hours,Strongly disagree,Strongly disagree,Strongly disagree,No answer
Atheist,No answer,Cisgender man,No answer,"Asian (Examples: Chinese, Japanese, Filipino, Korean, South Asian, Vietnamese),White (Examples: German, Irish, English, Italian, Polish, French)",Not High Need 4+,First Year,School of Engineering,Not 1st Generation,White,Male,No,Haven't needed any CAPS services,Strongly disagree,"Coping with academic-related stress,Help transitioning to Northwestern,Counseling on a Medical Leave of Absence",No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No,No answer,Somewhat agree,Somewhat agree,Somewhat agree,"Student advocacy groups (e.g. Reform CAPS),Peer advisors and student mentors","Student organizations,CARE,Friends,Family,Peer advisors","Drop-In Hours at CARE,Appointment at CAPS,Virtual appointment through TimelyCare","Friend Group,Family,Dorm/neighborhood,Student organization",Neither agree or disagree,No,"No, I have never considered taking a medical leave of absence.",No answer,I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,Drop-in meditation,Neither agree nor disagree,No answer,No answer,No,No,No answer,Somewhat agree,No answer,No,Between 1-5 hours,Strongly disagree,Strongly disagree,Strongly disagree,No answer
